praia,aspecto,aspecto_nome,n_avaliacoes,n_mencoes,pct_mencoes,nota_media,nota_mediana,pct_negativas,pct_positivas,confianca_media,exemplos_evidencia
praia_araçá,acesso_estacionamento,Acesso / estacionamento,46,7,15.22,2.71,2.0,57.14,14.29,0.94,Há poucas vagas para estacionar | acesso é que é meio difícil | acesso fica difícil... Há pouca disponibilidade de estacionamento | Acesso fácil de carro | tem que descer pelo meio da mata | Estrada sinuosa | O acesso pode ser pela rodovia... ou por barco
praia_araçá,beleza_natural,Beleza natural,46,16,34.78,4.94,5.0,0.0,100.0,0.96,"paisagens são ótimas | belíssimo visual | paisagem magnífica de um por do sol sem igual | o local é muito bonito! | visual mágico | Lugar agradável e bonito | Natureza linda de meu Deus. Linda praia. | Por do sol maravilhoso | muito bonita | vista de tirar o folego | tamanha beleza | A praia do Araça é bonita, isto ninguém discute | muito bela, Vista linda | paisagem linda da enseada | esse pedacinho do paraíso | É um lugar lindíssimo!"
praia_araçá,comercio_servicos,Comercio / servicos,46,10,21.74,3.8,4.0,20.0,70.0,0.94,"não tem a opção de alugar | gastronomia... restaurante Araça Silvestre, tem cardápio delicioso com bom preço | nem sequer estava aberto um restaurante | Muito bom para comprar mariscos e ostras fresquinhos | bar-restaurante que fica sobre um deck, flutuante | pedir um camarão a palito delicioso ou um prato de lula crocante | Bom para comprar peixes direto dos pescadores | Aproveite para comer um peixe fresco | Otimos local para comprar pescados | Somente se quiser comprar peixe fresco"
praia_araçá,familia_criancas,Familia / criancas,46,5,10.87,5.0,5.0,0.0,100.0,0.94,"ideal para ir com crianças | familiar, sem muita agitação de água, otimo p crianças | maravilhosa de se nadar e estar com a familia, areia branca otima pra crianças | Recomendo para quem tem crianças pequenas | algumas famílias aproveitam para levar crianças e idosos"
praia_araçá,infraestrutura,Infraestrutura,46,5,10.87,2.2,2.0,80.0,0.0,0.91,praias desertas e sem estrutura | Falta bastante investimento do município de Porto Belo no local | Não tem infraestrutura de praia | Não há estrutura | Possui modesta infraestrutura
praia_araçá,limpeza,Limpeza,46,9,19.57,3.89,5.0,33.33,66.67,0.96,água limpa | areia é bem grossa e um tanto suja | cheiro de lixo insuportável... tinha muito lixo na areia e restos de peixe | praia de água limpa | água muito limpa | há um cheiro forte de óleo na água | são as praias mais belas e limpas de Porto Belo | A água é limpíssima! | Limpeza em dias
praia_araçá,mar_banho,Mar / banho,46,18,39.13,4.89,5.0,0.0,94.44,0.95,"Mar manso ótimo par nadar | Lugar calmo sem ondas.aguas límpidas | águas calmas, transparente e quentinhas | Mar lindo e transparente. Parece uma piscina. | sem ondas e água limpa | mar calmo | águas calmas e límpidas | boa para banho, pois é tranquila | mar é cheio de barquinhos, geralmente calmo e de água muito limpa | praia do Araçá tem águas calmas | mar é muito calmo e com águas cristalinas | águas calmas e limpas | águas limpas e calmas! Banho de mar delicioso!!! | mar calmo, que mais pare"
praia_araçá,tranquilidade,Tranquilidade,46,12,26.09,4.67,5.0,8.33,91.67,0.94,"praia sem movimento e sossego | Praia tranquila, Local mais isolado | muito tranquilo e reservado, pouca gente | pouco movimentada | ótima opção para relaxar por conta da calmaria do lugar | Praia tranquila | É uma praia tranquila | Praia bem tranquila | Bem calma, bem agradável | Pequena e calma | Muito frequentada... muito frequentado por lanchas e jet ski"
praia_bacia_da_vovó,acesso_estacionamento,Acesso / estacionamento,242,58,23.97,2.55,2.0,67.24,22.41,0.95,"Fácil acesso, rua c calçamento | é difícil conseguir local para estacionar o carro | Tem espaço para carros | poucos estacionamentos na rua | não tinha lugar pra estacionar na rua | dificil para estacionar | tem que chegar cedo para conseguir estacionar | tem q chegar cedo para encontrar vaga | O problema maior é achar local para estacionar | Outro problema é o estacionamento | não há pontos de estacionamento | não será fácil estacionar | Único ponto negativo é os estacionamentos, não tem | Pont"
praia_bacia_da_vovó,beleza_natural,Beleza natural,242,80,33.06,4.86,5.0,1.25,95.0,0.96,"praia muito bonita | linda vista da natureza | muito bonita | bela natureza | Lindo lugar | Uma das mais bonitas de Penha | um das paisagens mais deslumbrantes do Estado | Praia linda, com pedras que fazem a paisagem ainda mais legal | Linda paisagem | Muita bonita | lugar lindo maravilhoso..tudo de bom | lugar lindo | Paisagem linda, cercada por belas matas | A vista é excelente | Praia linda | Visual maravilhoso | lugarzinho charmoso | linda demais | Praia muito linda, bem preservada | um visu"
praia_bacia_da_vovó,comercio_servicos,Comercio / servicos,242,52,21.49,2.52,2.0,59.62,19.23,0.93,"não tem serviço de quiosque por perto | não tinha lanchonetes, aluguel de cadeira e guarda-sol | não possuiu quiosques | não havia nada pra comprar pra comer | Não tem ambulantes e não há comercio por perto | não tem quiosque por perto | não há muitos quiosques ou barracas | Possui apenas uma barraca nela. Não restaurantes. | Não tem estrutura de barracas e serviço de restaurante | não tem muitas opções para alimentação | falta um restaurante ou bar | pouca oferta de comida | só não tem quiosque"
praia_bacia_da_vovó,custo_beneficio,Custo-beneficio,242,7,2.89,3.71,4.0,14.29,57.14,0.91,"alugar cadeiras e guarda sol bem próximo a preço justo | trailer que vende umas porções com custo bom | bom preço condizente a quantidade de comida | estacionamento em frente a 30 reais | porção de camarão bem servida por R$48,00 | terá que alugar a R$ 10,00 cada cadeira e mais R$ 5,00 o guarda sol | Estacionamento na média de preço r $20,00"
praia_bacia_da_vovó,familia_criancas,Familia / criancas,242,83,34.3,4.87,5.0,1.2,96.39,0.96,Passeio ideal com a família. Praia maravilhosa pra crianças. | praia pra ir com a família | Bom para ir com crianças | Muito boa para crianças | Praia muito boa para ir com crianças | aconchegante para famílias | fantástica para levar as crianças | Ótima praia para crianças | é ideal para levar as crianças | das melhores para ir com crianças e familias | não é uma praia para família e crianças | Ideal para família com crianças pequenas | Praia boa para quem está com crianças | boa para as crianç
praia_bacia_da_vovó,infraestrutura,Infraestrutura,242,54,22.31,2.26,2.0,74.07,16.67,0.94,"não tem infra-estrutura | não tem estrutura (restaurantes, banheiro etc) | Não tem estrutura | Não há banheiros | sem estrutura de restaurantes, banheiros e duchas | sem infraestrutura nenhuma, nem uma barraquinha com água | falta de banheiro químico | sem infra estrutura | Conta com calçadão | muitas calçadas pra passear | não tem banheiros | sem estrutura para turistas. Não há quiosques ou restaurantes | falta infraestrutura | não possui nenhuma infraestrutura | não possui infraestrutura, não "
praia_bacia_da_vovó,limpeza,Limpeza,242,61,25.21,4.57,5.0,9.84,88.52,0.96,"Água limpa areia clara | Limpa | limpa, água cristalina | Água limpinha... água muito limpa | Praia limpa e própria para banho | praia limpa | praia estava meio sujinha, os lixos estavam cheios | areia fica bem limpa | Água limpa | Praia limpa | limpa e uma das unidas praias de agua limpa | areias limpas | limpa | Praias limpas | praia muito limpa | ser limpa | super limpa | água limpa e clarinha, areia limpinha | praia é a mais tranquila, limpa | é muito limpa | estava bem limpa | Praia estava "
praia_bacia_da_vovó,mar_banho,Mar / banho,242,110,45.45,4.39,5.0,10.0,79.09,0.95,"deliciosa para o banho | calminha... parece uma lagoa | águas calmas | calminha | Mar tranquilo | mar limpo e ondas fraquinhas, ótimo para crianças! | águas claras | praia calma | mar fica bem calminho para banho | águas cristalinas | água calma, parece uma lagoa | águas estavam agitadas | Agua limpa e calma | águas calmas e praticamente sem ondas | Tem piscinas naturais para a criançada | águas calmas e limpidas | vovó fica mexendo as ondas para que as crianças fiquem tranquilas | águas tranqui"
praia_bacia_da_vovó,seguranca,Seguranca,242,17,7.02,4.35,5.0,11.76,82.35,0.94,Tem salva vidas e segurança | Existem no local salva vidas | com salva-vidas por perto | Havia bombeiros no dia em que fui | Não tinha guarda-vidas | Tem posto de salva vidas | Salva vidas muito atentos a tudo | posto de salva-vidas que cobre toda a extensão da praia | nos sentimos bem seguros | Eu fiquei mais tranquila... e não oferecer perigo | Possui posto salva vidas | Não achei seguro para deixar minha filha de 4 anos brincando na borda | um pouco perigosa pra crianças por conta das pedras 
praia_bacia_da_vovó,tranquilidade,Tranquilidade,242,94,38.84,4.65,5.0,6.38,90.43,0.96,"lugar tranqüilo | A praia é linda tranquila | Praia tranquila | um mar de tranquikidade | Tranquila. | estava tranquila, sem muita gente | Espaço calmo... com pouco movimento. | lugar lindo, calmo, retirado | bem tranquila | lugar sossegado, tranquilo | praia é ótima para quem não gosta de muvuca | muito tranquila... praias menos badaladas | muiiiiito pacata | maravilhosa para quem procura sossego | Praia super tranquila, excelente para quem quer sossego | Estava vazia | praia muito calma | esco"
praia_brava,acesso_estacionamento,Acesso / estacionamento,1188,104,8.75,4.01,4.5,18.27,70.19,0.92,"Fácil acesso | fácil acesso | tem bastante lugares pra estacionar | de fácil acesso | Fácil acesso, estacionamento publico próximo | ruim para estacionar | achamos estacionamento com preço justo | foi fácil encontrar onde parar o carro | Tem locais para estacionar... Acesso fácil de carro | dá pra estacionar o carro na rua | O estacionamento é um pouco complicado de achar. | O estacionamento é bem fácil na região, com muitas vagas públicas gratuitas | fácil de acesso | com bom acesso | Sempre en"
praia_brava,beleza_natural,Beleza natural,1188,386,32.49,4.9,5.0,0.52,98.19,0.97,"A cidade é linda. | Praia linda para passar horas desfrutando da beleza do mar. | Praia muito linda | O local é muito bonito | lindas paisagens | muito bonita | visual encantador | Uma praia bonita | Praia linda | Linda natureza | vista linda | contemplar a natureza | bela vista | uma das mais belas praias de Santa Catarina | Linda praia! | Bela praia | vista espetacular | praia linda... paisagem espetacular | Paisagem maravilhosa, lugar lindo | Local bonito | A praia é muito linda | observando "
praia_brava,comercio_servicos,Comercio / servicos,1188,449,37.79,4.41,5.0,3.79,91.76,0.93,"bastante opções de restaurante, bares e vendedores ambulantes | restaurante Brava food Park oferece cadeiras e guarda sol como cortesia | excelente atendimento. Caipiras ótimas !!! Porções generosas e deliciosas | Atendimento especial, ótimas opções no cardápio | Vários bares e restaurantes na beira da praia | Muitos bares e restaurantes a beira mar | ambiente perfeito para ficar em uns dos restaurantes | tem ótimas opções [de comida e bebida] | bares e restaurantes muito bons como o Brava Sushi"
praia_brava,custo_beneficio,Custo-beneficio,1188,71,5.98,2.87,2.0,52.11,35.21,0.92,"excelente custo beneficios | não tem consumação mínima e os preços são acessíveis | vale cada centavo | restaurantes e bares são bem caros | preços salgados | uma porção de batata frita, R$60,00 | Bebidas caras | preços são mais elevados que o geral | É para vários bolsos | o bom que não se paga a barraca | Daria 5 estrelas se os preços fossem justos. Cobraram 50,00 as 2 cadeiras com guarda sol e 15,00 uma água de coco. | o consumo lá é caríssimo | Água de coco caríssima (11 reais) e aluguel da "
praia_brava,familia_criancas,Familia / criancas,1188,135,11.36,2.86,2.0,58.52,40.0,0.94,"Não é para crianças. Como o nome diz, praia de ondas bravas, não sendo o ideal para crianças. | não recomendo para criança | só não aproveita que for com criança | não recomendaria para crianças | nao muito confortável para crianças | Para criancas nao e recomendavel | recomendo não levar crianças pequenas porque a praia é reflexiva e perigosa | nao recomendo para criancas | Para crianças, não tem como, o mar é o que o nome diz, bravo | desaconselhável para crianças e pessoas que não sabem nadar"
praia_brava,infraestrutura,Infraestrutura,1188,256,21.55,3.89,4.0,20.31,74.22,0.93,"Agora com chuveiros e banheiros para os banhistas | Lugar com muita estrutura | praia não tem chuveiros e infra estrutura | Faltam calçadas, algumas ruas com pouca Iluminação | Tem um calçadão e uma ciclovia | calçadão lindo | tem uma calçada legal para caminhada e também boas opções de quiosques | bem estruturada,com bons restaurantes e supermercado | possui um calçadão | bom calçadão para caminhadas. Bons restaurantes e bares | condomínios muito bem estruturados | infraestrutura ... muito bem "
praia_brava,limpeza,Limpeza,1188,345,29.04,4.78,5.0,4.93,93.62,0.96,"Praia muito limpa! Na verdade a cidade é muito limpa | Praia limpa | limpa | A praia esta limpa para banho | A água é limpa | areia muito suja | água é muito limpa | a água e a praia são limpas | Água limpa. Praia limpa | praia limpa | Águas limpas | super limpa | É mais limpa e natural do que a praia do centro | no quesito limpeza foi nota 10! | águas limpas e claras | águas cristalinas e areia branca | Praia limpa, sem poluiçao | Aguá super limpa | limpo | A praia é limpa | A praia é limpa! | "
praia_brava,mar_banho,Mar / banho,1188,431,36.28,2.94,3.0,39.91,31.55,0.92,"Impossível de banhar. Há bandeiras vermelhas em praticamente toda a extensão. | mar e muito bravo com ondas muito fortes | Agua própria para banho | boas ondas para surf | ótimo lugar para aprender a surfar | Tem muitas ondas e surfistas | inapropriada para crianças e adultos devem tomar muito cuidado | péssima para banho, pois é muito forte as ondas | mar limpo | mar muito limpo | mar é muito agitado e perigoso | o mar é bem perigoso | so o mar que é muito agitado | mar muito violento | maré ca"
praia_brava,seguranca,Seguranca,1188,97,8.16,3.49,4.0,37.11,58.76,0.94,Possui bombeiro guarda-vidas | realmente perigosa | o mar é perigoso | segura | bem sinalizado e tem posto de observação com salva vidas | quase não vi policiamento | Perigosa | praia bem segura | furtos a veículos são comum | carro foi arrombando | seguro | praia é muito perigosa tem muito buraco | monitorada por salva-vidas... tb é uma praia muito bem polícias | falta policiamento... nota 0! A noite nem pensar em passear com família pois está muito perigoso. | praia é super segura... super pol
praia_brava,tranquilidade,Tranquilidade,1188,212,17.85,3.88,4.0,15.09,68.87,0.91,lugar tranquilo | E uma praia calma fora da temporada | ambiente sossegado | tranquila | Muito tranquila. Perfeita p descansar.. Nota 10! Lugar calmo | disputa feia entre as várias barracas de quem é mais o mais “ sem educação” - em usar música | estava bem tranquila | Ainda um lugar tranquilo... locais bem tranquilos | Calmo e tranquilo. | se destaca por possuir uma atmosfera menos urbana e ainda não verticalizada | sinônimo de natureza e tranquilidade | Cxs de som atrapalham a tranquilidade | 
praia_cabeçudas,acesso_estacionamento,Acesso / estacionamento,635,91,14.33,3.24,3.0,41.76,47.25,0.94,bastante lugar para estacionar nas ruas adjuntas | fácil acesso... com boa estrutura de... estacionamento. | fluxo organizado dos veículos na orla | pena tb não ter estacionamento. | fácil acesso de carro e bicicleta | não pense em circular de carro... as ruas são estreitas e faltam vagas | acesso muito fácil | pouca oferta de estacionamento | fácil acesso | Local de fácil acesso | lugar para estacionar | poucos lugares para estacionar nas ruas | O problema é achar local para estacionar. | Fácil
praia_cabeçudas,beleza_natural,Beleza natural,635,205,32.28,4.82,5.0,0.98,98.54,0.97,"bonita | Paisagem deslumbrante | Linda | Local muito bonito | Praia linda!! | Belíssima vista | Lugar lindo e limpo. | Lindo !!!. Praia limpa, muito bonita | A vista é bonita. | Praia linda, agraciada com morro e pedras | A paisagem é linda, tem uma ilha de pedra que dá um toque muito bonito ao visual. | Praia linda e com trapiche natural! | Praia linda | À praia e linda | vista incrível para o mar, um verdadeiro paraíso | lugar muito bonito | Bem bonito. É realmente bonito local | Praia muito b"
praia_cabeçudas,comercio_servicos,Comercio / servicos,635,174,27.4,3.76,4.0,17.24,68.39,0.93,"um quiosque charmoso... Ótimo local, com um cardápio variado e excelente serviço | restaurantes atendem na areia sem cobrar pelo uso das cadeiras e guarda-sol | Os preços são bons e as porções e lanches são muito gostosas | Tem pouco comércio por perto | boa estrutura de restaurantes | conta com estrutura de bares em frente a praia. | Pena não ter serviço de praia - vc pode alugar cadeiras e guarda sol | poucas opções de restaures e estes são simples também. | Há muitas opções de bares e restaur"
praia_cabeçudas,custo_beneficio,Custo-beneficio,635,25,3.94,3.92,4.0,20.0,72.0,0.93,"ótimo custo benefício, preço justo, bom e barato | sao caros | Comprar uma água de coco aqui sai mais caro | não é barato | Valor de porções justos, não pagamos para ficar nos assentos | alguns lugares com preço bacana | preços mais baratos | bem barato | preço justo | Não cobram cadeiras e guarda sol na praia | preços médios | preços justíssimos | preços cobrados para turistas e muito alto | preços razoáveis | Boa comida com preço justo | Um pouco caro, mas compensa | vlr da comida e bebida ext"
praia_cabeçudas,familia_criancas,Familia / criancas,635,171,26.93,4.72,5.0,3.51,95.32,0.96,"bem familiar | Bastante familiar | Praia muito familiar, com muitas opções para todos os estilos | É ótima para um passeio em família | Ótima praia em ITAJAI para aproveitar bons momentos com a família | Praia ótima para ir com crianças | É recomendada para famílias com filhos | Bom lugar para ir com a família e amigos | aconchegante para estar com a família e amigos | ambiente familiar... Ótima para família com crianças. | Bem familiar | Praia boa para ir com as crianças | Ótima passar o dia co"
praia_cabeçudas,infraestrutura,Infraestrutura,635,158,24.88,4.13,4.0,11.39,81.65,0.95,"Tem banheiros limpos, chuveiro | estacionamento,cadeiras, ombrelones, duchas e restaurantes | Possui banheiros químicos e chuveiros, todos de uso gratuito | No calçadão tem ciclovia, área para pedestres, alguns pontos da praia tem aparelhos de academia | calçadão para caminhadas e passeios de bike | possui estacionamentos pagos, duchas, restaurantes | vários banheiros ecológicos | Ciclovia e espaço para ginástica... Bancos por toda a orla | bem estruturada. Passeio/calçada da orla ficou ótima. D"
praia_cabeçudas,limpeza,Limpeza,635,166,26.14,4.17,5.0,19.88,75.3,0.96,"Praia limpa | Água super limpa, praia super limpa | sempre que vou está limpa | É muito organizada e limpa | Lugar lindo e limpo. | A praia é limpa | limpa e organizada | limpa | a praia é limpa | água do mar limpinha | areia limpa | LImpeza impecavel. | Areias limpas | limpo | limpeza belo calçadão | águas limpas | Águas calmas e limpas | areia e praia limpa | frequentadores de hoje não tem muito cuidado com o local e costumam deixar muita sujeira | A água não é muito limpa para banho | bem lim"
praia_cabeçudas,mar_banho,Mar / banho,635,219,34.49,4.03,5.0,17.81,68.95,0.95,"água limpa e tranquila.. | o mar é sossegado, o que permite o banho | Agua calma | o mar é bem agitado. Não dá pra ficar muito tempo no mar | mar calmo e muito convidativo | calma | Mar azulzinho com boas ondas, excelente para um ótimo banho. | Mar calmo, águas calmas e límpidas | Águas calmas, rasas e extremamente limpas. | águas claras e tranquilhas | água limpa | tranquila pra banho | Mar tranquilo ótimo para as crianças | mar calmo | aguas limpas, calmas | praia de aguas calmas | água é próp"
praia_cabeçudas,seguranca,Seguranca,635,39,6.14,4.1,5.0,25.64,74.36,0.95,segura | achei meio perigoso.. a maré estava forte. | salva vidas a disposição | salva vidas o tempo todo orientando os banhistas | verdadeiramente lugar seguro | há alguns postos de guarda-vidas | Segura | salva-vidas sempre atentos | problemas com assalto | Local seguro | não acho seguro o estacionamento | alto indice de criminalidade e roubos | Falta policiamento. A prefeitura de Itajaí não investe em segurança pública. | bem sinalizado com bandeira vermelha | muito seguro | bairro residencia
praia_cabeçudas,tranquilidade,Tranquilidade,635,248,39.06,4.4,5.0,9.27,84.68,0.95,"sosegada | Praia literalmente lotada | A praia mais calma da região | Tranquila | É uma praia tranquila | Feriado lotado. Estivemos no feriado e a praia estava lotada | Tranquilidade é o nome. Praia calma | Se vc gosta de “agito”, este não é seu lugar. | fica lotada rapidamente por pessoas locais. | vazia, tranquila, sossegada | Praia tranquila | pouco movimento | calma um lugar tranquilo | Lugar muito tranquilo | muito tranquila | A praia é calma em períodos de baixa temporada | Tranquilo nesta"
praia_caixa_d_aço,acesso_estacionamento,Acesso / estacionamento,163,34,20.86,2.62,2.0,58.82,17.65,0.94,"para chegar só por lancha, jet ski, barco | acesso é por uma rua estreita e muito congestionada | Ir à pe para a praia do caixa d aço não é oque de melhor tem | Acesso com restrição para quem tem dificuldade de locomoção | acesso é ruim | trilha é super tranquila e de fácil acesso | acesso nao é dos mais fáceis | bem difícil por carro | O único problema é quem vai de carro ou a pé | estacionamento é complicado | necessário deixar o carro no estacionamento... rua de acesso é estreita | tem que ir"
praia_caixa_d_aço,beleza_natural,Beleza natural,163,41,25.15,4.95,5.0,0.0,100.0,0.99,"De tirar o fôlego o mar | Paisagem fantastica | Mar maravilhoso, lugar lindo! | Lindo local | Melhor vista de minha vida! | Praia linda | lugar maravilhoso | Simplesmente incrível | linda baía | ótima vista para o mar | linda de morrer | Lindo! ... paraíso escondido | natureza exuberante e rica | Local lindo, paradisíaco | Belissima praia | A praia é muito bonita | A praia Caixa d'Aço é muito bonita | praia bonita e agradável | Linda, linda, linda. | não perde sua beleza! | praia mais linda da r"
praia_caixa_d_aço,comercio_servicos,Comercio / servicos,163,36,22.09,3.94,4.0,19.44,72.22,0.94,"Visitamos todos bares | restaurante maravilhoso | desfrutar do restaurante flutuante | tem dois bares flutuantes | Péssimo atendimento da recepção | bares flutuantes, excelentes | tem otimos restaurantes flutuantes | Existem 2 bares flutuantes e um grande restaurante | pequenos bares flutuantes que com bote prestam serviço delivery | marinheiro serviu excelente churrasco | restaurante flutuante | bar flutuante | Os bares flutuantes é que dão um toque especial | bares flutantes muito legais | flu"
praia_caixa_d_aço,custo_beneficio,Custo-beneficio,163,7,4.29,2.86,2.0,57.14,28.57,0.94,"não vale o preço que se paga | a um preço módico | preço de tudo, estacionamento, comida. ...muito caro | paguei 30 reais por um passeio inesquecivel | prepare-se pois o preco é salgado | ele não tem maquinas de cartões | os preços são bem salgados"
praia_caixa_d_aço,familia_criancas,Familia / criancas,163,16,9.82,4.75,5.0,6.25,93.75,0.98,ideal para crianças | diversão para toda familia | Sempre vamos com nosso filho de 3 anos | Lugar bom para quem tem crianças | Recomendo para crianças | boas opções pra crianças e pra quem tem medo de água | ótima opções para levar as crianças | melhor horário pra levar criança | pode largar a criançada na água sem preocupação | muitas conchinhas para a criançada se divertir | ótima para crianças | Ótima para crianças | excelente para a família | ideal para levar crianças | perigosa pra crianças
praia_caixa_d_aço,infraestrutura,Infraestrutura,163,6,3.68,2.0,2.0,83.33,0.0,0.92,"não tinha serviço de guarda sol para alugar | infraestrutura precisa melhorar | pequeno restaurante na praia, mas bem limitado e com pouca infra estrutura | único quiosque mal tratado | sem grande estrutura turística | peca na estrutura aos clientes, tendo somente dois bares"
praia_caixa_d_aço,limpeza,Limpeza,163,18,11.04,3.39,5.0,44.44,55.56,0.97,"areia é suja, a água é cheia de lodo, e certos pontos chega a feder a esgoto | água limpíssima | agua cristalina | água cristalina | a água fica limpa | Local tinha muita sujeira deixada pelos turistas | aguas lindas e cristalinas | Praia limpa | Praia com água limpinha | A praia é linda, limpa, transparente a ponto de enxergarmos os pés | na temporada costuma ser suja, pelo motivo de que lá é muita festa nas lanchas e o pessoal acaba descartando o lixo no mar | mar limpo | areia batida enlamead"
praia_caixa_d_aço,mar_banho,Mar / banho,163,44,26.99,4.77,5.0,4.55,93.18,0.98,"água calma e transparente icmoj.a picina, bem raso | Agua bem clarinha | Águas transparentes e quentes no verão | águas rasas | água boa | águas tranquilas | água muito quente e bem calma para tomar banho | mar bem calmo e não tem ondas | pouco ondulação | mar tranquilo | Água ótima para banho e para também para nadar visto que não há muitas ondas | mar limpo e sem ondas verdadeira piscina natural | Excelente praia sem ondas | mar muito calmo | água calma, transparente e rasinha | Mar calmo, del"
praia_caixa_d_aço,seguranca,Seguranca,163,2,1.23,3.5,3.5,50.0,50.0,0.92,segurança na ancoragem | perigoso pelo grande fluxo de embarcações
praia_caixa_d_aço,tranquilidade,Tranquilidade,163,27,16.56,2.89,2.0,55.56,37.04,0.95,"invadida por lanchas com som alto e pessoas gritando | estava muito tranquilo na areia | Se é paz que buscam, aqui na praia caixa d'aço vocês encontram de montão | ponto negativo é a competição de som entre as lanchas no fds | A praia é linda e tranquila | ser mais reservada | muita tranquilidade | local calmo | Som alto das embarcações | Durante a semana é tranquilo. O maior movimento de lanchas... é no réveillon | ambiente não é o mais apropriado para isso, pois é mais indicado para quem quer "
